parent,ex_date,child,listing_date,parent_index,note
HTMEDIA,2019-04-09,DGCONTENT,2019-06-18,,Digicontent
PRAKASH,2019-04-23,PPL,2019-06-14,,Prakash Pipes
DCM,2019-05-30,DCMNVL,2019-07-16,,DCM Nouvelle
AARTIIND,2019-07-03,AARTISURF,2020-07-14,,Aarti Surfactants (listed a year after the record date)
GREENPLY,2019-07-12,GREENPANEL,2019-10-23,,Greenpanel Industries
GFLLIMITED,2019-08-06,FLUOROCHEM,2019-10-16,,Gujarat Fluorochemicals
AGI,2019-08-19,HINDWAREAP,2019-12-26,,Somany Home Innovation (now Hindware Home Innovation)
TATACOMM,2019-09-17,HEMIPROP,2020-10-22,,Hemisphere Properties (listed 13 months after the record date)
ABB,2019-12-20,POWERINDIA,2020-03-30,next50,ABB Power Products (now Hitachi Energy India)
KESORAMIND,2019-12-24,BIRLATYRE,2020-02-10,,Birla Tyres; delisted since - listing date = first bhavcopy close in the price store
JINDALPOLY,2019-12-30,UNIVPHOTO,2020-02-14,,Universus Photo Imagings
SUVEN,2020-01-21,COHANCE,2020-03-09,,Suven Pharmaceuticals (now Cohance Lifesciences)
ARCHIDPLY,2020-02-13,ADL,2020-10-01,,Archidply Decor
BORORENEW,2020-03-06,BOROLTD,2020-07-22,,Borosil Ltd
SHARDAMOTR,2020-03-26,NDRAUTO,2020-07-30,,NDR Auto Components
PRIVISCL,2020-08-21,FAIRCHEMOR,2020-12-24,,Fairchem Organics
DEEPENR,2020-11-10,DEEPINDS,2021-04-27,,Deep Industries
CCAVENUE,2020-12-10,DRCSYSTEMS,2021-03-10,,DRC Systems (from Infibeam Avenues)
JUBLPHARMA,2021-02-04,JUBLINGREA,2021-03-19,,Jubilant Ingrevia
GFLLIMITED,2021-03-26,IWEL,2021-06-11,,Inox Wind Energy; delisted since - listing date = first bhavcopy close in the price store
MEGH,2021-05-18,MOL,2021-08-18,,Meghmani Organics (new entity)
MEGH,2021-05-18,EPIGRAL,2021-08-18,,Meghmani Finechem (now Epigral); same scheme as MOL
GMRAIRPORT,2022-01-11,GMRP&UI,2022-03-23,,GMR Power and Urban Infra
MOTHERSON,2022-01-14,MSUMI,2022-03-28,next50,Motherson Sumi Wiring India
DHAMPURSUG,2022-05-13,DBOL,2022-09-08,,Dhampur Bio Organics
TIPSMUSIC,2022-05-19,TIPSFILMS,2022-10-06,,Tips Films
PEL,2022-08-30,PPLPHARMA,2022-10-19,next50,Piramal Pharma
KAMDHENU,2022-09-06,KAMOPAINTS,2023-01-24,,Kamdhenu Ventures
BEML,2022-09-08,BLAL,2023-04-19,,BEML Land Assets
AARTIIND,2022-10-19,AARTIPHARM,2023-01-30,,Aarti Pharmalabs
NMDC,2022-10-27,NSLNISP,2023-02-20,next50,NMDC Steel
MIRZAINT,2023-03-29,REDTAPE,2023-08-11,,Redtape
SCI,2023-03-31,SCILAL,2024-03-19,,SCI Land and Assets (listed a year after the record date)
GHCL,2023-04-06,GHCLTEXTIL,2023-06-12,,GHCL Textiles
