symbol,leg,kind,review,announce,effective,source
# kind: entry=clean fresh add (Next50 forced BUY) | exit=clean drop below (forced SELL)
# promotion=left Next50->Nifty50 (confounded, net-buy) | relegation=entered Next50<-Nifty50 (confounded, net-sell)
# merger/adhoc=event-driven, excluded from regular-review study. Source = niftyindices.com press-release PDF date.
ABCAPITAL,add,entry,2018-03,2018-02-21,2018-04-02,ind_prs21022018
GICRE,add,entry,2018-03,2018-02-21,2018-04-02,ind_prs21022018
L&TFH,add,entry,2018-03,2018-02-21,2018-04-02,ind_prs21022018
SBILIFE,add,entry,2018-03,2018-02-21,2018-04-02,ind_prs21022018
AMBUJACEM,add,relegation,2018-03,2018-02-21,2018-04-02,ind_prs21022018
AUROPHARMA,add,relegation,2018-03,2018-02-21,2018-04-02,ind_prs21022018
BOSCHLTD,add,relegation,2018-03,2018-02-21,2018-04-02,ind_prs21022018
GSKCONS,drop,exit,2018-03,2018-02-21,2018-04-02,ind_prs21022018
GLAXO,drop,exit,2018-03,2018-02-21,2018-04-02,ind_prs21022018
GLENMARK,drop,exit,2018-03,2018-02-21,2018-04-02,ind_prs21022018
TATAPOWER,drop,exit,2018-03,2018-02-21,2018-04-02,ind_prs21022018
TORNTPHARM,drop,exit,2018-03,2018-02-21,2018-04-02,ind_prs21022018
BAJAJFINSV,drop,promotion,2018-03,2018-02-21,2018-04-02,ind_prs21022018
TITAN,drop,promotion,2018-03,2018-02-21,2018-04-02,ind_prs21022018
BANDHANBNK,add,entry,2018-09,2018-08-28,2018-09-28,ind_prs28082018
BIOCON,add,entry,2018-09,2018-08-28,2018-09-28,ind_prs28082018
HDFCLIFE,add,entry,2018-09,2018-08-28,2018-09-28,ind_prs28082018
ICICIGI,add,entry,2018-09,2018-08-28,2018-09-28,ind_prs28082018
NIACL,add,entry,2018-09,2018-08-28,2018-09-28,ind_prs28082018
LUPIN,add,relegation,2018-09,2018-08-28,2018-09-28,ind_prs28082018
CUMMINSIND,drop,exit,2018-09,2018-08-28,2018-09-28,ind_prs28082018
EMAMILTD,drop,exit,2018-09,2018-08-28,2018-09-28,ind_prs28082018
PFC,drop,exit,2018-09,2018-08-28,2018-09-28,ind_prs28082018
PNB,drop,exit,2018-09,2018-08-28,2018-09-28,ind_prs28082018
RECLTD,drop,exit,2018-09,2018-08-28,2018-09-28,ind_prs28082018
JSWSTEEL,drop,promotion,2018-09,2018-08-28,2018-09-28,ind_prs28082018
BAJAJHLDNG,add,entry,2019-03,2019-02-25,2019-03-29,ind_prs25022019
DIVISLAB,add,entry,2019-03,2019-02-25,2019-03-29,ind_prs25022019
HDFCAMC,add,entry,2019-03,2019-02-25,2019-03-29,ind_prs25022019
PAGEIND,add,entry,2019-03,2019-02-25,2019-03-29,ind_prs25022019
UBL,add,entry,2019-03,2019-02-25,2019-03-29,ind_prs25022019
HINDPETRO,add,relegation,2019-03,2019-02-25,2019-03-29,ind_prs25022019
ABCAPITAL,drop,exit,2019-03,2019-02-25,2019-03-29,ind_prs25022019
BEL,drop,exit,2019-03,2019-02-25,2019-03-29,ind_prs25022019
LICHSGFIN,drop,exit,2019-03,2019-02-25,2019-03-29,ind_prs25022019
OIL,drop,exit,2019-03,2019-02-25,2019-03-29,ind_prs25022019
SUNTV,drop,exit,2019-03,2019-02-25,2019-03-29,ind_prs25022019
