ticker,name
RELIANCE.NS,Reliance Industries
TCS.NS,Tata Consultancy Services
HDFCBANK.NS,HDFC Bank
ICICIBANK.NS,ICICI Bank
INFY.NS,Infosys
BHARTIARTL.NS,Bharti Airtel
SBIN.NS,State Bank of India
HINDUNILVR.NS,Hindustan Unilever
ITC.NS,ITC
LT.NS,Larsen & Toubro
KOTAKBANK.NS,Kotak Mahindra Bank
BAJFINANCE.NS,Bajaj Finance
AXISBANK.NS,Axis Bank
M&M.NS,Mahindra & Mahindra
MARUTI.NS,Maruti Suzuki
ASIANPAINT.NS,Asian Paints
SUNPHARMA.NS,Sun Pharma
NTPC.NS,NTPC
HCLTECH.NS,HCL Technologies
ULTRACEMCO.NS,UltraTech Cement
TITAN.NS,Titan Company
ADANIENT.NS,Adani Enterprises
ADANIPORTS.NS,Adani Ports
COALINDIA.NS,Coal India
BAJAJFINSV.NS,Bajaj Finserv
ONGC.NS,ONGC
NESTLEIND.NS,Nestle India
POWERGRID.NS,Power Grid Corporation
JSWSTEEL.NS,JSW Steel
WIPRO.NS,Wipro
TATAMOTORS.NS,Tata Motors
BAJAJ-AUTO.NS,Bajaj Auto
GRASIM.NS,Grasim Industries
INDUSINDBK.NS,IndusInd Bank
HEROMOTOCO.NS,Hero MotoCorp
EICHERMOT.NS,Eicher Motors
BPCL.NS,Bharat Petroleum
BRITANNIA.NS,Britannia Industries
SBILIFE.NS,SBI Life Insurance
HDFCLIFE.NS,HDFC Life Insurance
DRREDDY.NS,Dr Reddy's Laboratories
CIPLA.NS,Cipla
TATASTEEL.NS,Tata Steel
APOLLOHOSP.NS,Apollo Hospitals
HINDALCO.NS,Hindalco
TRENT.NS,Trent
SHRIRAMFIN.NS,Shriram Finance
TATACONSUM.NS,Tata Consumer Products
LTIM.NS,LTIMindtree
TECHM.NS,Tech Mahindra
