Date,EW_Nifty (buy-hold),EMA pillar (any of 4 MAs),Drawdown pillar (DD<=-10%),Zone pillar (any N-day low),Aggregate ANY,Aggregate MAJORITY (>=2),Aggregate ALL (3 of 3)
2018-01-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-02,99766.61474280016,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-03,99874.96575568288,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-04,100921.60238459503,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-05,101986.32901149527,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-08,102591.15374003623,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-09,102613.71411641844,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-10,102650.12941057938,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-11,102752.73078450086,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-12,102815.24397121849,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-15,102792.20792661891,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-16,102335.39457104393,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-17,102986.18722727595,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-18,102184.19318277147,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-19,102782.258213485,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-22,103309.63067497654,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-23,104293.67445966555,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-01-24,103977.08268893056,100000.0,99700.0,100000.0,99700.0,100000.0,100000.0
2018-01-25,103641.91209375663,100000.0,99175.61593501805,100000.0,99175.61593501805,100000.0,100000.0
2018-01-29,103847.8062969316,100000.0,99289.14147178104,100000.0,99289.14147178104,100000.0,100000.0
2018-01-30,102905.95855045923,100000.0,99484.65161359923,100000.0,99484.65161359923,100000.0,100000.0
2018-01-31,102470.94921489783,100000.0,99901.64237909706,100000.0,99901.64237909706,100000.0,100000.0
2018-02-01,102938.06935721988,100000.0,99951.9008130839,100000.0,99951.9008130839,100000.0,100000.0
2018-02-02,100583.67875729295,100000.0,96849.53108223614,100000.0,96849.53108223614,100000.0,100000.0
2018-02-05,99873.82702930704,100000.0,96357.11571303879,100000.0,96357.11571303879,100000.0,100000.0
2018-02-06,98548.68204862543,100000.0,95723.1454004354,100000.0,95723.1454004354,100000.0,100000.0
2018-02-07,98671.32608425755,100000.0,95598.33887391174,100000.0,95598.33887391174,100000.0,100000.0
2018-02-08,99999.3280299622,100000.0,96927.78382643117,100000.0,96927.78382643117,100000.0,100000.0
2018-02-09,99469.90195034214,100000.0,96272.76721190206,100000.0,96272.76721190206,100000.0,100000.0
2018-02-12,100397.03632681764,100000.0,97098.92809125326,100000.0,97098.92809125326,100000.0,100000.0
2018-02-14,100158.30856139278,100000.0,97395.93278715645,100000.0,97395.93278715645,100000.0,100000.0
2018-02-15,100415.32564424089,100000.0,97961.56064956333,100000.0,97961.56064956333,100000.0,100000.0
2018-02-16,99453.82001217283,100000.0,96779.25279971333,100000.0,96779.25279971333,100000.0,100000.0
2018-02-19,98337.98400831522,100000.0,95747.91617590575,100000.0,95747.91617590575,100000.0,100000.0
2018-02-20,98380.65844523812,100000.0,95943.41572765671,100000.0,95943.41572765671,100000.0,100000.0
2018-02-21,98423.81889666287,100000.0,95827.31244210461,100000.0,95827.31244210461,100000.0,100000.0
2018-02-22,98459.31696012765,100000.0,95944.62175804196,100000.0,95944.62175804196,100000.0,100000.0
2018-02-23,99691.8747803058,100000.0,97396.13421303306,100000.0,97396.13421303306,100000.0,100000.0
2018-02-26,100478.3937780841,100000.0,98213.6250930906,100000.0,98213.6250930906,100000.0,100000.0
2018-02-27,100339.5509552134,100000.0,98057.15904598002,100000.0,98057.15904598002,100000.0,100000.0
2018-02-28,99903.49414720497,100000.0,97675.54624564784,100000.0,97675.54624564784,100000.0,100000.0
2018-03-01,99630.1018782587,100000.0,97393.16729128762,100000.0,97393.16729128762,100000.0,100000.0
2018-03-05,98899.93693144765,100000.0,96389.29439231954,100000.0,96389.29439231954,100000.0,100000.0
2018-03-06,97938.09424788313,100000.0,95475.53948739824,100000.0,95475.53948739824,100000.0,100000.0
2018-03-07,96862.69019462608,100000.0,93732.35497162785,100000.0,93732.35497162785,100000.0,100000.0
2018-03-08,97323.0269326871,100000.0,94400.11753416588,100000.0,94400.11753416588,100000.0,100000.0
2018-03-09,96931.7972965796,100000.0,93277.78056255907,100000.0,93277.78056255907,100000.0,100000.0
2018-03-12,98403.51237726415,100000.0,94988.32648659775,100000.0,94988.32648659775,100000.0,100000.0
2018-03-13,98749.44486520905,100000.0,95901.04308442734,100000.0,95901.04308442734,100000.0,100000.0
2018-03-14,98788.68319765588,99700.00000000003,95891.38931175195,99700.0,95710.27966113017,99700.00000000001,99700.0
2018-03-15,98767.72725106835,99391.17936395772,95483.79549396665,99934.98426978881,95414.20930297505,99274.3747972688,99934.98426978881
2018-03-16,97397.06382232958,97709.99088334473,93786.04132154456,99635.17931697943,93803.87315085932,97505.02356692006,99635.17931697943
2018-03-19,96081.68106728965,96523.79225840727,92443.65487480302,97993.59006302766,92646.4355476128,96137.40552529908,97993.59006302766
2018-03-20,96568.54968773389,96950.56490070072,92833.04677644199,98171.92518268935,93055.95882655132,96542.52992074778,98171.92518268935
2018-03-21,96715.68280075864,97124.37915576561,92914.71086913344,98220.06638055306,93226.14940526953,96602.12407945555,98220.06638055306
2018-03-22,96184.99612092876,96405.58873491734,91978.7948495198,96811.49595986036,92509.11138326806,95692.67464091709,96528.24308098758
2018-03-23,95493.33056241869,95381.79913025424,90592.70172669429,95487.25955655167,91526.81822289094,94244.82579741404,95213.1433794934
2018-03-26,96730.41229056515,96716.35735216153,91990.04055995095,96712.14635121886,92807.43925852569,95644.82936724888,96495.75750645582
2018-03-27,97511.04048637269,97322.30204937192,92523.1489189003,97625.2832493615,93388.89390718064,96199.32508271343,97406.76846982099
2018-03-28,97010.80575317614,96514.90672882194,91524.15508548029,97332.40739961341,92614.13052464294,95140.11492063059,97114.54816441154
2018-04-02,98485.76086593304,97925.34040764779,92781.59781446606,98813.59626943241,93988.81946429805,96380.70126547717,98762.30482950987
2018-04-03,98648.40211163726,98023.76555918394,92822.06765510075,100307.89890153868,94047.28325436085,96469.43853488738,100255.62523901042
2018-04-04,97385.30672436833,96331.78681541032,90942.60112532979,100006.97520483407,92443.24003949198,94467.09100039362,99954.8583632934
2018-04-05,99471.94536849389,98588.85517306792,93621.44068333719,104922.66072919761,94628.6988461616,97222.43970350905,104867.98216630689
2018-04-06,99763.74888368935,98582.15113361749,93679.84449969212,102525.45438959608,94618.19204679017,97292.991615027,102472.02508779627
2018-04-09,100092.07303793327,98687.35236257197,93981.61332788317,101286.9579812739,94812.4532327156,97490.13638329275,101234.17409966532
2018-04-10,100531.4238138701,99857.10765278788,95161.09514239276,102377.16457510478,95922.57148004105,98746.15858094027,102323.81255188228
2018-04-11,100757.74680725139,100018.7771142211,94945.78732605037,102377.16457510478,95868.76543193465,98706.12661072727,102323.81255188228
2018-04-12,100832.58430759676,99145.27489332145,94035.26357723634,102070.03308137946,95154.12346002208,97531.03031947416,102016.84111422663
2018-04-13,101155.14413188802,99352.5360312626,94386.0690236341,101998.07098128807,95469.44460862856,97778.32969558948,101944.91651589308
2018-04-16,101728.0294495489,100336.46481505496,95099.89675140996,101874.23315227334,96194.05334253109,98760.19831641321,101821.14322274196
2018-04-17,101949.51610529602,100388.40891035445,94955.83915006516,103028.29181548965,96020.11558615183,98874.05627108378,102974.60046898354
2018-04-18,101703.86703996114,100382.7817578195,95031.93995675245,102719.20694004318,96096.38644901542,98863.03921046232,102665.67666757658
2018-04-19,102439.23413471914,100960.3609075093,96075.31400739565,95433.56825454484,97126.9112342563,99429.02570344624,95383.83476201401
2018-04-20,102511.91139825409,100216.30304026653,95185.39061516731,94128.3219519747,96492.31532044905,98124.88295598034,94079.26866514536
2018-04-23,102829.24743286372,100781.75031806176,95544.67737933763,96360.14869302121,96856.67986105266,98678.49575439365,96309.93232971273
2018-04-24,102785.6966133135,100806.3959532374,95490.3066911311,96360.14869302121,96801.56258052519,98702.62706150237,96309.93232971273
2018-04-25,102640.94544104148,99600.27675357884,94950.91357169682,96360.14869302121,96225.894390625,97551.75506090689,96309.93232971273
2018-04-26,103128.96467617094,99120.15087698828,94586.2770972903,96071.06824694214,95883.6996916532,97031.52298062685,96021.00253272359
2018-04-27,103454.88370459262,100732.6806321716,95993.58401455547,99654.50424648199,97142.78726374322,98914.54251277377,99602.57108885986
2018-04-30,103934.0613740831,101145.45026834268,96146.16419076649,99654.50424648199,97307.46516182022,99327.69225873717,99602.57108885986
2018-05-02,102773.38275030752,99003.54891558133,94535.38742378772,99654.50424648199,95663.53306200629,97179.22572166135,99602.57108885986
2018-05-03,102090.91101268645,98915.1773580403,94578.98662751394,99355.54073374254,95713.19583370378,97033.26219857857,99303.76337559328
2018-05-04,101630.85334406201,98632.24429877057,94335.54423779408,98851.32839279967,95339.98923430489,97024.9644735768,98799.81379586902
2018-05-07,102443.23630628404,99321.35632185207,95274.43966361255,100028.32090148292,96159.71380625066,97829.07588905364,100277.93465056755
2018-05-08,102485.35771949592,99603.97264270375,96000.04739875878,99706.92164001265,96736.40732478212,98152.28628520228,99977.10084661585
2018-05-09,102405.81544002201,98775.24596514499,95517.27357570519,100127.72652114539,96268.80925107881,96965.08751952258,100699.87211488815
2018-05-10,101989.7052623932,98128.73957253725,95171.88151887081,100274.19951993409,95939.25429000458,96235.14150310225,100397.77249854348
2018-05-11,102698.76382435406,98330.20137148259,95401.59201429694,99716.07404401376,96150.68506804244,96461.1288032673,99839.73905999504
2018-05-14,102508.17422800533,98044.86351811925,94640.61819212705,99485.64522708641,95607.34143343494,95995.81376680195,99609.02383972361
2018-05-15,102424.89415892444,97563.62505186228,94350.78340573193,96320.3107806826,95301.65839460635,95435.71552667458,96439.7639444898
2018-05-16,101983.0497838395,96830.89106504223,93367.39892353916,96138.30829069625,94399.5750383726,94679.02168898552,96257.53574123951
2018-05-17,101858.19077416143,96852.45352748982,93087.0653814408,96628.33136123876,94204.20554485833,94710.18424367408,96748.1665216787
2018-05-18,101117.49291721155,95281.40219149682,91212.92336345102,95049.04154988394,92603.01927653972,92858.6794820526,95166.91812897142
2018-05-21,100130.0033428475,94228.99532151796,90279.98029451635,93657.64501057951,91638.09050965095,91831.0613156671,93803.70833673724
2018-05-22,100786.54000993542,95073.50470956287,91257.85081951824,94311.2195380645,92477.24884333862,92803.16586628834,94529.94979733112
2018-05-23,99921.09219978168,94086.71984372385,90289.4271905004,93166.03392491734,91571.91522858875,91727.17120749387,93382.20629983688
2018-05-24,100626.95178603544,94456.7487363707,90731.84454941338,93644.31451799837,92030.62042547506,92033.93649564122,93861.59643806898
2018-05-25,101854.07240478964,95948.30469244678,92105.98068650291,95168.46954900943,93358.61473616469,93622.13226485843,95389.28794945971
